,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_cat,Embarked_cat
0,1,0,3,male,22.0,1,0,7.25,S,1,2
1,2,1,1,female,38.0,1,0,71.2833,C,0,0
2,3,1,3,female,26.0,0,0,7.925,S,0,2
3,4,1,1,female,35.0,1,0,53.1,S,0,2
4,5,0,3,male,35.0,0,0,8.05,S,1,2
6,7,0,1,male,54.0,0,0,51.8625,S,1,2
7,8,0,3,male,2.0,3,1,21.075,S,1,2
8,9,1,3,female,27.0,0,2,11.1333,S,0,2
9,10,1,2,female,14.0,1,0,30.0708,C,0,0
10,11,1,3,female,4.0,1,1,16.7,S,0,2
11,12,1,1,female,58.0,0,0,26.55,S,0,2
12,13,0,3,male,20.0,0,0,8.05,S,1,2
13,14,0,3,male,39.0,1,5,31.275,S,1,2
14,15,0,3,female,14.0,0,0,7.8542,S,0,2
15,16,1,2,female,55.0,0,0,16.0,S,0,2
16,17,0,3,male,2.0,4,1,29.125,Q,1,1
18,19,0,3,female,31.0,1,0,18.0,S,0,2
20,21,0,2,male,35.0,0,0,26.0,S,1,2
21,22,1,2,male,34.0,0,0,13.0,S,1,2
22,23,1,3,female,15.0,0,0,8.0292,Q,0,1
23,24,1,1,male,28.0,0,0,35.5,S,1,2
24,25,0,3,female,8.0,3,1,21.075,S,0,2
25,26,1,3,female,38.0,1,5,31.3875,S,0,2
27,28,0,1,male,19.0,3,2,263.0,S,1,2
30,31,0,1,male,40.0,0,0,27.7208,C,1,0
33,34,0,2,male,66.0,0,0,10.5,S,1,2
34,35,0,1,male,28.0,1,0,82.1708,C,1,0
35,36,0,1,male,42.0,1,0,52.0,S,1,2
37,38,0,3,male,21.0,0,0,8.05,S,1,2
38,39,0,3,female,18.0,2,0,18.0,S,0,2
39,40,1,3,female,14.0,1,0,11.2417,C,0,0
40,41,0,3,female,40.0,1,0,9.475,S,0,2
41,42,0,2,female,27.0,1,0,21.0,S,0,2
43,44,1,2,female,3.0,1,2,41.5792,C,0,0
44,45,1,3,female,19.0,0,0,7.8792,Q,0,1
49,50,0,3,female,18.0,1,0,17.8,S,0,2
50,51,0,3,male,7.0,4,1,39.6875,S,1,2
51,52,0,3,male,21.0,0,0,7.8,S,1,2
52,53,1,1,female,49.0,1,0,76.7292,C,0,0
53,54,1,2,female,29.0,1,0,26.0,S,0,2
54,55,0,1,male,65.0,0,1,61.9792,C,1,0
56,57,1,2,female,21.0,0,0,10.5,S,0,2
57,58,0,3,male,28.5,0,0,7.2292,C,1,0
58,59,1,2,female,5.0,1,2,27.75,S,0,2
59,60,0,3,male,11.0,5,2,46.9,S,1,2
60,61,0,3,male,22.0,0,0,7.2292,C,1,0
62,63,0,1,male,45.0,1,0,83.475,S,1,2
63,64,0,3,male,4.0,3,2,27.9,S,1,2
66,67,1,2,female,29.0,0,0,10.5,S,0,2
67,68,0,3,male,19.0,0,0,8.1583,S,1,2
68,69,1,3,female,17.0,4,2,7.925,S,0,2
69,70,0,3,male,26.0,2,0,8.6625,S,1,2
70,71,0,2,male,32.0,0,0,10.5,S,1,2
71,72,0,3,female,16.0,5,2,46.9,S,0,2
